No,GRT,Length,TerminalName,TEU,VoyageType,Interval,EarlinessTardiness,ST,OT,UT
213,37323,240,1,1807,Liner,7.92,3,1.27,19.23,2.92
214,25391,207,1,2420,Liner,6.33,0,1.67,42.32,2.35
215,15095,168,1,1110,Liner,7.48,0,0.6,22.9,0.58
216,29872,210,1,818,Liner,31.6,-8,1.45,17.83,2.63
217,3236,102,1,190,Feeder,8.5,0,1.5,30.02,1.98
218,10837,158,1,549,Feeder,0.5,-1,0.63,6.63,1.9
219,3070,107,1,147,Liner,6.17,11,1.43,6.47,3.18
221,3277,95,1,232,Feeder,5.5,-8,0.73,7.95,1.35
222,4419,100,1,469,Feeder,9.8,-2,1.43,7.98,2.33
223,29259,200,1,262,Liner,4.7,0,1.58,6.43,2.07
224,16805,178,1,1578,Feeder,17.5,-1,0.5,21.1,0.73
226,36014,240,1,3775,Liner,11.33,3,1.42,50.58,5.8
227,17215,177,1,707,Liner,5.33,-1,1.23,14.17,2.37
228,16135,170,1,995,Feeder,20,-1,1.77,17.95,0.87
229,23825,188,1,894,Liner,0.42,13,1.3,23.62,3.38
230,52055,220,1,1058,Liner,2.28,7,1.8,17.18,3.03
231,17887,182,1,1099,Liner,37.63,1,1.97,18.53,1.95
232,10256,147,1,555,Liner,0.67,2,1.23,8.7,1.23
233,29872,210,1,941,Liner,10.75,-1,0.92,20.78,0.88
234,14036,155,1,961,Liner,1.75,0,2.32,14.32,2.45
235,4419,100,1,634,Feeder,4.5,0,1.62,11.63,0.5
236,10837,158,1,797,Feeder,12.5,-3,0.98,9.68,0.75
237,5608,117,1,705,Feeder,10.5,-1,0.78,12.97,2.08
238,27681,221,1,2802,Liner,5.75,1,1.85,26.93,3.05
239,23285,187,1,3368,Liner,5.75,1,1.97,67.87,1.83
240,4419,100,1,482,Feeder,20.75,0,0.5,10.28,1.22
241,16805,178,1,1717,Feeder,8.83,0,1.3,27.15,2.35
242,16100,170,1,216,Liner,14.02,7,3.45,7.92,8.97
243,10484,177,1,897,Liner,3.45,0,1.37,14.05,2.2
244,15670,168,1,1280,Liner,8.45,0,3.97,28.53,2.67
245,16135,170,1,1820,Feeder,15,-1,0.98,32.2,1.15
246,42323,242,1,820,Liner,7.7,-2,1.2,14.52,2.53
247,16694,174,1,1656,Liner,1.05,4,1.42,44.9,2.43
248,17887,180,1,1199,Liner,45.25,0,1.2,10.18,3.2
249,36014,240,1,4190,Liner,6.3,33,1.63,47.4,3.72
250,29873,210,1,1105,Liner,2.2,1,1.23,20.22,4.72
251,30526,205,1,664,Liner,11,4,1.68,14.35,2.05
252,14036,155,1,1377,Liner,12.07,2,1.47,25.87,2.83
253,10837,158,1,567,Feeder,4.77,-2,1.32,20.85,0.75
254,16805,178,1,1760,Feeder,14.6,0,1.63,24.2,0.92
255,10837,153,1,942,Feeder,9.32,2,1.07,19.67,1.55
256,3277,95,1,397,Feeder,6.58,4,0.82,12.8,2.3
257,4419,100,1,412,Feeder,8.17,-1,0.95,11.05,3.83
258,16135,170,1,1996,Feeder,15,-1,1.13,30.42,1.87
259,16233,182,1,803,Liner,1.5,6,1.65,14.55,1.72
260,25391,207,1,2144,Liner,15.17,1,2.02,26.45,2.9
261,29259,200,1,152,Liner,9.83,7,1.48,6.65,2.12
262,17887,181,1,1283,Liner,2.3,2,0.92,15.37,0.05
263,42323,242,1,1186,Liner,2,1,1.9,27.13,3.47
264,21932,187,1,727,Liner,8.83,12,0.85,10.42,1.73
265,10932,154,1,839,Feeder,30.87,-1,1.33,19.52,1.98
266,29873,210,1,1047,Liner,12.67,2,0.83,13.62,2.72
267,5608,117,1,921,Feeder,0.5,3,1.35,15.27,1.88
268,10256,147,1,717,Liner,7.83,1,2.37,13.65,1.82
269,36014,240,1,4989,Liner,11.5,2,1.75,61.67,5.58
270,15670,168,1,1121,Liner,8.07,11,1.83,24.87,2.32
271,3135,93,1,246,Feeder,8.93,29,1.33,16.92,4.25
272,16135,170,1,1653,Feeder,9.5,-2,4.25,27.98,2.1
273,10837,158,1,747,Feeder,5,6,0.82,10.37,1.65
274,3277,95,1,320,Feeder,21.37,1,1.53,11,1.52
275,16805,178,1,1743,Feeder,25.13,-1,1.37,17.2,1.18
276,4419,100,1,413,Feeder,1,3,0.42,6.17,1.83
277,17215,176,1,508,Liner,8.25,1,0.98,9.85,2.92
278,16600,178,1,1623,Feeder,6,18,1.18,17.12,1.7
279,32654,227,1,586,Liner,4.85,12,1.93,15.12,1.12
280,32284,211,1,1335,Liner,0.63,0,1.7,16.63,1.97
281,17887,182,1,1474,Liner,18.52,3,1.2,19.63,1
282,10837,158,1,1072,Feeder,22.25,2,0.92,12.88,1.62
283,29872,210,1,965,Liner,2.17,0,1.02,17.13,2.58
284,5608,117,1,777,Feeder,19.83,-2,0.8,13,2.15
285,15670,168,1,914,Liner,0.5,2,1.4,18.3,0.8
287,4419,100,1,745,Feeder,27.33,-3,1.18,11.1,1.55
288,3225,97,1,182,Feeder,12.33,16,0.65,3.1,1.25
289,16600,178,1,1397,Feeder,2.83,3,1.3,20.9,2.47
290,4419,100,1,409,Feeder,15,1,1.25,6.58,1.08
291,36014,240,1,4101,Liner,4.25,18,2.03,63.75,1.95
292,16135,170,1,1599,Liner,8.25,5,1.7,22.88,2.25
293,10837,158,1,1111,Feeder,1.25,-4,1.12,14.6,0.87
294,24305,182,1,262,Liner,3.58,0,1.18,7.75,0.9
295,25407,207,1,1551,Liner,2.95,0,2.13,31.58,6.72
296,26787,208,1,976,Liner,4.22,8,2.3,19.93,2.93
297,15670,168,1,1270,Liner,17.83,2,2.25,39.42,3.02
298,37323,240,1,1007,Liner,0.27,1,1.55,15.55,0.98
299,42145,248,1,821,Liner,3.9,0,1.5,13.77,2.4
300,17887,182,1,534,Liner,19,2,0.73,5.93,0.83
301,10256,147,1,860,Liner,20.4,0,1.67,32.97,1.62
302,29872,210,1,976,Liner,9.6,4,2.43,15.47,3.1
303,16600,178,1,1459,Feeder,4,5,1.5,25.18,1.37
304,14036,155,1,1239,Liner,40.75,6,1.6,28.62,0.78
305,10837,158,1,1067,Feeder,3.5,8,1.07,10.88,0.83
306,15670,168,1,1572,Liner,8.75,0,1.42,35.55,2.05
307,16805,178,1,1872,Feeder,0.5,2,2.23,29.38,2.17
308,4419,100,1,518,Feeder,15.5,0,1.38,9.03,3.17
309,25407,207,1,1576,Liner,14.6,-3,2.08,30.47,2.25
310,36014,240,1,3868,Liner,9.07,-1,1.58,58.65,1.57
311,17215,177,1,790,Liner,6.2,2,1.48,15.53,1.23
312,52055,220,1,1557,Liner,6.13,2,3.67,25.93,2.15
313,23825,188,1,684,Liner,2.25,18,1.68,16.5,1.22
314,16135,170,1,1951,Feeder,13.55,0,2,63.1,0.9
315,17887,182,1,1208,Liner,1.5,2,1.25,17.78,2.3
316,9030,126,1,633,Liner,27,0,1.28,11.28,1.67
317,4419,100,1,686,Feeder,2.2,0,1.75,14.58,0.95
318,29872,210,1,884,Liner,8.25,-3,1.5,20.67,0.82
319,5608,117,1,846,Feeder,0.17,1,1.12,23.95,1.5
320,14036,155,1,1074,Liner,39.08,-3,1.92,25.05,3.45
322,10837,158,1,956,Feeder,0.5,7,0.7,22.3,1.33
323,4419,100,1,335,Feeder,7.83,0,0.53,5.27,1.45
325,16805,178,1,1702,Feeder,6.67,2,1.43,24.48,1.23
327,10837,153,1,939,Feeder,19.75,7,2.32,18.2,1.48
329,23285,187,1,3028,Liner,5,2,2.12,56.83,2.5
330,29259,200,1,431,Liner,8.92,12,0.93,10.27,1.58
332,16166,170,1,1232,Feeder,17.08,0,2.98,15.53,1.62
333,16694,174,1,1430,Liner,2.25,31,2.55,51.02,3.73
335,17887,180,1,994,Liner,9.7,1,1.02,8.87,2.37
336,17887,180,1,994,Liner,8.8,1,1.02,8.87,2.37
337,42323,242,1,1175,Liner,26.75,-2,1.67,18.17,2.17
339,17215,177,1,746,Liner,1.35,5,1.13,12.15,1.72
340,27758,209,1,2594,Feeder,3.4,0,3.28,62.1,2.45
341,29873,210,1,832,Liner,11.7,3,3.27,11.45,2.95
342,15670,168,1,1530,Liner,7.8,22,1.3,29.23,2.72
343,30526,205,1,910,Liner,11.92,-4,1.7,12.78,3.52
344,10256,147,1,634,Feeder,49.68,-3,1.97,19.8,2.73
345,10837,158,1,1532,Feeder,5.4,-3,0.57,22.52,1.28
346,4419,100,1,691,Feeder,7.67,-3,1.52,7.43,1.38
347,36014,240,1,4516,Liner,5.33,0,2.28,50.37,2.68
348,16135,170,1,1593,Feeder,6.83,1,0.77,23.3,1.02
349,10484,177,1,860,Liner,5.67,6,1.68,17.43,1.97
350,16805,178,1,2163,Feeder,15.17,2,2.3,65.13,2.73
351,42323,242,1,1202,Liner,10.83,-1,1.02,24.42,2.07
352,17887,182,1,1669,Liner,8.7,2,1.35,15.53,1.62
353,25391,207,1,2438,Liner,0.1,11,2.3,31.28,1.92
354,21932,187,1,668,Liner,1.45,1,3.57,8.97,1.98
355,9030,126,1,518,Liner,29.75,1,1.22,12.8,1.48
356,5608,117,1,762,Feeder,0.5,-1,1.1,28.82,2.33
357,15095,168,1,1752,Liner,8.5,4,1.27,25.82,2.17
358,29873,210,1,916,Liner,12.33,-16,1.08,14.98,3.52
359,4876,122,1,402,Feeder,11.83,5,1.3,13.62,1.32
360,10837,158,1,983,Feeder,4.83,-1,0.85,14.78,1.37
361,4419,100,1,656,Feeder,23.33,0,1.47,12.23,1.22
362,15670,168,1,1103,Liner,0.42,25,2.8,79.4,1.55
363,36014,240,1,4789,Liner,10.27,1,1.98,65.25,1.68
364,27681,221,1,2876,Liner,11.48,-1,2.93,141.2,2.03
365,16233,182,1,751,Liner,0.33,4,1.3,21.02,1.85
366,16850,168,1,1707,Feeder,16.5,2,1.9,66.7,3.73
367,3277,95,1,213,Feeder,14.17,-2,0.67,6.35,1.15
368,17887,182,1,1365,Liner,5.42,3,0.73,18.07,0.78
369,29259,200,1,299,Liner,8.58,5,1.78,12.82,4.1
370,32284,211,1,1414,Liner,5.9,3,1.2,20.33,2.38
371,16166,170,1,1803,Feeder,10.82,5,3.12,42.42,1.22
372,32654,227,1,791,Liner,8.08,28,0.9,14.23,3.37
373,10256,147,1,574,Liner,5.2,-2,1.43,10.9,1.8
374,2599,94,1,203,Feeder,10,0,1.38,31.05,2.82
375,5608,117,1,636,Feeder,20.67,24,0.45,9.3,3.33
376,14036,155,1,855,Liner,9.63,-2,1.15,16.02,2.17
377,15670,168,1,713,Feeder,4.95,12,1.68,23.07,1.97
378,10837,158,1,1182,Feeder,3.25,1,1.12,15.63,2.08
379,27758,209,1,3281,Feeder,9.9,4,1.62,49.48,1.88
380,37323,240,1,857,Liner,19.1,-1,1.08,15.98,1.78
381,36014,240,1,4307,Liner,2.17,10,2.8,57.65,2.25
382,29872,210,1,1509,Liner,31.17,8,1.45,25.55,1.17
383,16135,170,1,1912,Feeder,5.37,5,1.03,23.68,0.62
384,17887,182,1,1072,Liner,10.1,-1,1.25,12.82,1.1
385,16850,168,1,2226,Feeder,3.4,0,1.45,32.45,2.27
386,23825,188,1,916,Liner,19.3,1,1.22,15.37,1.58
387,17215,176,1,691,Liner,1.7,3,1.32,15.95,3.23
388,9030,126,1,629,Liner,19.97,-3,3.65,19.18,1.58
389,5608,117,1,706,Feeder,9.33,24,1.63,24.23,2.05
390,29872,210,1,863,Liner,3,0,1.13,17.32,2.3
391,4419,100,1,498,Feeder,10.17,0,3.53,10.15,1.08
392,27758,209,1,2260,Feeder,2.83,9,2.52,54.78,6.45
393,14036,155,1,1428,Liner,2.25,0,1.37,27.8,0.58
394,25391,207,1,1713,Liner,41.25,0,2.15,27.7,1.65
395,16850,168,1,1134,Feeder,12.67,-1,1.4,15.68,3.17
396,16100,170,1,243,Liner,13,0,2.6,4.6,2.22
397,26787,208,1,826,Liner,2.13,0,1.23,17.17,2.77
398,52055,220,1,1156,Liner,5.62,0,2.5,16.55,4.1
399,16694,174,1,1624,Liner,4.08,0,3.22,54.27,2.88
400,36014,240,1,4226,Liner,3.55,3,1.97,59.8,1.65
401,17887,182,1,1169,Liner,23.7,3,1.03,10.72,1.03
402,10837,158,1,1073,Feeder,11.5,4,1.25,14.25,1.75
403,16166,170,1,1572,Feeder,2.25,1,2.3,44.02,1.28
404,10256,147,1,549,Liner,11.67,-4,1.38,17.88,2.22
405,4419,100,1,454,Feeder,5.83,0,1.08,7.6,2.52
406,29872,210,1,837,Liner,20,-9,1.25,22.27,0.82
407,5608,117,1,842,Feeder,4,-1,1.45,22.87,2.33
408,24305,182,1,466,Liner,3.25,3,1.13,7.92,1.53
409,3135,93,1,238,Feeder,9.5,-2,1.53,11.58,2.22
410,4876,122,1,407,Feeder,1.75,2,3.17,9.22,1.45
411,20408,140,1,1373,Feeder,16,0,0.98,15.65,1.45
412,16135,170,1,1262,Liner,13.25,3,0.98,15.68,1.25
413,15670,168,1,1267,Liner,11.17,37,2.78,28.45,1.02
414,10837,158,1,962,Feeder,15.83,-2,0.63,11.52,0.85
415,16805,178,1,1366,Feeder,9.17,0,1.33,19.73,1.52
416,4419,100,1,633,Feeder,7.58,0,1.02,10.78,1
417,42323,242,1,1443,Liner,4,1,2.38,27.88,0.73
418,17887,180,1,1406,Liner,16.58,3,0.95,21.65,1.23
419,23285,187,1,3255,Liner,3.72,9,1.68,47.03,1.87
420,15670,168,1,1387,Liner,1.87,8,1.25,31.78,1.47
421,3225,97,1,210,Feeder,0.83,-1,1.27,6.37,2.12
422,9030,126,1,671,Liner,10.08,-1,1.23,16.88,1.35
423,30526,205,1,1385,Liner,1.02,1,1.6,19,3.68
424,4419,100,1,334,Feeder,14.98,1,0.57,9.43,1.58
425,25407,207,1,2044,Liner,7.98,-2,1.3,30.63,1.32
426,17215,177,1,1081,Liner,1.83,3,0.77,20.22,3.77
427,29873,210,1,1197,Liner,15.27,-4,1.22,17.97,3.4
428,29259,200,1,107,Liner,10.13,0,0.83,7.23,1.77
429,15095,168,1,1317,Liner,2.6,3,1.15,22.53,0.32
430,10837,158,1,872,Feeder,4.85,-1,0.93,14.4,1.17
431,4876,122,1,243,Feeder,18.25,1,1.67,5.88,3.15
432,36014,240,1,4288,Liner,6,0,2.02,56.13,1.18
433,1592.7,86,1,189,Feeder,12.93,0,1.92,5.45,2.97
434,16805,178,1,1482,Feeder,1.07,0,1.47,22.13,1.82
435,16100,170,1,205,Liner,22.92,1,0.93,9.82,2.17
436,10837,158,1,433,Feeder,6.08,-4,0.9,10.35,1.67
437,27758,209,1,2253,Feeder,0.75,1,5.07,104.6,1.58
