
                                      ARENA Simulation Results
                                                  

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date : 2/ 2/2022
Analyst: None                                                        Model revision date: 2/ 2/2022

Replication ended at time      : 26280.0 Hours 
Statistics were cleared at time: 2160.0 Hours (Tuesday, May 03, 2022, 00:00:00)
Statistics accumulated for time: 24120.0 Hours
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
orthodontics_patient.TotalTime                  --         --         --         --          0
restorative_patient.VATime                      --         --         --         --          0
restorative_patient.NVATime                     --         --         --         --          0
restorative_patient.WaitTime                    --         --         --         --          0
restorative_patient.TranTime                    --         --         --         --          0
restorative_patient.OtherTime                   --         --         --         --          0
restorative_patient.TotalTime                   --         --         --         --          0
Admission.Queue.WaitingTime                 .00000     .00000     .00000     .00000      36180    
Batch 2.Queue.WaitingTime                   32.836     2.3695     .00000     184.00       1495    
normal implant brush.Queue.WaitingTime          --         --         --         --          0
Batch 7.Queue.WaitingTime                       --         --         --         --          0
sature.Queue.WaitingTime                    .11801     .01989     .00000     2.0119       1126    
implant fixture polishing.Queue.WaitingTim  .10000      4.8110E-4 .00000     .20000       1495    
normal crown polish.Queue.WaitingTime           --         --         --         --          0
sonication and immersion.Queue.WaitingTime  .00000     (Insuf)    .00000     .00000        299    
hold immediate implant crown.Queue.Waiting      --         --         --         --          0
hold immediate implant fixture.Queue.Waiti  1.0000     (Insuf)    1.0000     1.0000          3    
Dentures polishing.Queue.WaitingTime            --         --         --         --          0
Dentures Examination.Queue.WaitingTime      .04108     .00285     .00000     1.0452       7294    
join patient crown and fixture.Queue.Waiti      --         --         --         --          0
hold normal implant crown.Queue.WaitingTim      --         --         --         --          0
hold dentures base.Queue.WaitingTime            --         --         --         --          0
Hold 18.Queue.WaitingTime                       --         --         --         --          0
Hold for call.Queue.WaitingTime             12.360     .11132     2.9653     15.701       1129    
normal sonication and immersion.Queue.Wait  .01381     .00323     .00000     .38442       1145    
Hold 15.Queue.WaitingTime                   669.22     (Insuf)    587.00     831.00         36    
Match 6.Queue1.WaitingTime                  .88516     .00586     .66933     1.1595       1129    
Match 6.Queue2.WaitingTime                  .00000     .00000     .00000     .00000       1129    
dentures UV curing.Queue.WaitingTime            --         --         --         --          0
crowns post cure.Queue.WaitingTime              --         --         --         --          0
aligners brush.Queue.WaitingTime                --         --         --         --          0
Adjustable Batch 2.Queue.WaitingTime        7.6563     .08984     .00000     8.0000       5730    
Implanr examination 1.Queue.WaitingTime     .11270     .00880     .00000     2.8521       7282    
normal crowns 3DP.Queue.WaitingTime             --         --         --         --          0
Batch 1.Queue.WaitingTime                       --         --         --         --          0
Hold 19.Queue.WaitingTime                       --         --         --         --          0
Batch 3.Queue.WaitingTime                       --         --         --         --          0
Photographing.Queue.WaitingTime             .00000     .00000     .00000     .00000       7300    
immediate fixtures 3DP.Queue.WaitingTime    .00000     (Insuf)    .00000     .00000        299    
Match 3.Queue1.WaitingTime                      --         --         --         --          0
Match 3.Queue2.WaitingTime                      --         --         --         --          0
immediate implant brush.Queue.WaitingTime       --         --         --         --          0
aligners ultra sonic.Queue.WaitingTime          --         --         --         --          0
join patient and crown.Queue.WaitingTime        --         --         --         --          0
Hold 6.Queue.WaitingTime                    2.0309     .06947     .00492     3.9902       1038    
Hold 1.Queue.WaitingTime                    1.9948     .01248      2.0103E-4 3.9998      36148    
aligners thermoforming.Queue.WaitingTime        --         --         --         --          0
3DP dentures base.Queue.WaitingTime             --         --         --         --          0
3DP aligners.Queue.WaitingTime                  --         --         --         --          0
Batch 8.Queue.WaitingTime                       --         --         --         --          0
3DP crown.Queue.WaitingTime                     --         --         --         --          0
dentures post cure.Queue.WaitingTime            --         --         --         --          0
normal implant fixture polishing.Queue.Wai  .10000      1.2621E-4 .00000     .20000       5725    
examination by orthodentics.Queue.WaitingT      --         --         --         --          0
immediate crown polish.Queue.WaitingTime        --         --         --         --          0
join patient and fixture.Queue.WaitingTime  .04582     .00637     .00000     .51338       1129    
aligners post cure.Queue.WaitingTime            --         --         --         --          0
immediate crowns 3DP.Queue.WaitingTime          --         --         --         --          0
restoration.Queue.WaitingTime                   --         --         --         --          0
normal sonication and acid etched.Queue.Wa  .03537     .00840     .00000     .75000       1145    
Batch 6.Queue.WaitingTime                       --         --         --         --          0
hold normal implant fixture.Queue.WaitingT  1.0000     (Insuf)    1.0000     1.0000         18    
scanning process.Queue.WaitingTime          .02780      7.5609E-4 .00000     .70693      36141    
crowns brush.Queue.WaitingTime                  --         --         --         --          0
Hold 21.Queue.WaitingTime                       --         --         --         --          0
hold dentures teeth.Queue.WaitingTime           --         --         --         --          0
implant post cure.Queue.WaitingTime             --         --         --         --          0
Orthodentics Examination.Queue.WaitingTime  .08983     .00696     .00000     1.9290       7300    
Implant examinatio 3.Queue.WaitingTime      .09251     .00900     .00000     2.6831       5729    
Implant examinatio 2.Queue.WaitingTime      .11038     .01488     .00000     2.5485       1494    
scanning2.Queue.WaitingTime                 .02967     .00273     .00000     .22451       1126    
Match 1.Queue1.WaitingTime                      --         --         --         --          0
Match 1.Queue2.WaitingTime                      --         --         --         --          0
Denture installation.Queue.WaitingTime          --         --         --         --          0
hold crowns.Queue.WaitingTime                   --         --         --         --          0
hold aligners.Queue.WaitingTime                 --         --         --         --          0
Hold 20.Queue.WaitingTime                       --         --         --         --          0
crowns polishing.Queue.WaitingTime              --         --         --         --          0
Restoration Examination.Queue.WaitingTime   .00000     .00000     .00000     .00000      14305    
norma implant post cure.Queue.WaitingTime       --         --         --         --          0
3DP dentures teeth.Queue.WaitingTime            --         --         --         --          0
sonication and acid etched.Queue.WaitingTi  .10535     (Insuf)    .00000     .58333        299    
normal fixtures 3DP.Queue.WaitingTime       .00000     .00000     .00000     .00000       1145    
Batch 4.Queue.WaitingTime                   8.3282     .37524     .00000     60.000       5725    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

total titanium Value                        8207.3     (Corr)     1018.0     15464.     15464.    
Dentures revenue Value                       1.9021E+5 (Corr)     28262.      3.4927E+5  3.4927E+5
teeth A2 resin inventory Value              80.000     (Insuf)    80.000     80.000     80.000    
Restoration revenue Value                   67725.     (Corr)     10934.      1.2547E+5  1.2547E+5
base LP resin inventory Value               150.00     (Insuf)    150.00     150.00     150.00    
Dentures base LP resin usage Value          4200.0     (Insuf)    4200.0     4200.0     4200.0    
Implant revenue Value                        1.5190E+5 (Corr)     18820.      2.8598E+5  2.8598E+5
resin inventory Value                       10.000     (Insuf)    10.000     10.000     10.000    
total resin Value                           990.00     (Insuf)    990.00     990.00     990.00    
Orthodontics revenue Value                   6.0790E+5 (Corr)     89678.      1.1216E+6  1.1216E+6
grey resin inventory Value                  40.000     (Insuf)    40.000     40.000     40.000    
total grey resin Value                      560.00     (Insuf)    560.00     560.00     560.00    
titanium inventory Value                    200.69     (Corr)     .00000     400.00     136.00    
Dentures teeth A2 resin usage Value         3920.0     (Insuf)    3920.0     3920.0     3920.0    
Entity 1.WIP                                6.0000     (Insuf)    6.0000     6.0000     6.0000    
immediate implant 1.WIP                     .00000     (Insuf)    .00000     .00000     .00000    
Implant type 2.WIP                          8403.8     (Corr)     1030.0     15870.     15870.    
Implant type 1.WIP                          2555.7     (Corr)     312.00     4794.0     4794.0    
patient.WIP                                 .31259      3.5871E-4 .00000     1.0000     .00000    
dentures_patient.WIP                        11876.     (Corr)     863.00     22786.     22786.    
Implant_patient.WIP                         190.52     (Corr)     126.00     225.00     191.00    
two stage implant 2.WIP                     .00000     (Insuf)    .00000     .00000     .00000    
orthodontics_patient.WIP                    8574.5     (Corr)     1242.0     15842.     15842.    
restorative_patient.WIP                     16833.     (Corr)     2653.0     31263.     31263.    
post curing machine.NumberBusy              .00000     (Insuf)    .00000     .00000     .00000    
post curing machine.NumberScheduled         1.0000     (Insuf)    1.0000     1.0000     1.0000    
post curing machine.Utilization             .00000     (Insuf)    .00000     .00000     .00000    
Restoration doctor 2.NumberBusy             .14839     .00281     .00000     1.0000     1.0000    
Restoration doctor 2.NumberScheduled        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Restoration doctor 2.Utilization            .14839     .00281     .00000     1.0000     1.0000    
Restoration doctor 1.NumberBusy             .14866     .00310     .00000     1.0000     .00000    
Restoration doctor 1.NumberScheduled        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Restoration doctor 1.Utilization            .14866     .00310     .00000     1.0000     .00000    
3DP.NumberBusy                              .02635      7.7081E-4 .00000     2.0000     .00000    
3DP.NumberScheduled                         2.0000     (Insuf)    2.0000     2.0000     2.0000    
3DP.Utilization                             .01318      3.8540E-4 .00000     1.0000     .00000    
Scanner.NumberBusy                          .31370     .00230     .00000     1.0000     .00000    
Scanner.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Scanner.Utilization                         .31370     .00230     .00000     1.0000     .00000    
Denture doctor.NumberBusy                   .25163     .00485     .00000     1.0000     .00000    
Denture doctor.NumberScheduled              1.0000     (Insuf)    1.0000     1.0000     1.0000    
Denture doctor.Utilization                  .25163     .00485     .00000     1.0000     .00000    
orthodontist doctor.NumberBusy              .30277     .00768     .00000     1.0000     .00000    
orthodontist doctor.NumberScheduled         1.0000     (Insuf)    1.0000     1.0000     1.0000    
orthodontist doctor.Utilization             .30277     .00768     .00000     1.0000     .00000    
polisher.NumberBusy                         .01497      3.9499E-4 .00000     1.0000     .00000    
polisher.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
polisher.Utilization                        .01497      3.9499E-4 .00000     1.0000     .00000    
ultra sonic cleaner.NumberBusy              .07982     .00211     .00000     1.0000     .00000    
ultra sonic cleaner.NumberScheduled         1.0000     (Insuf)    1.0000     1.0000     1.0000    
ultra sonic cleaner.Utilization             .07982     .00211     .00000     1.0000     .00000    
photographer.NumberBusy                     .07598     .00188     .00000     1.0000     .00000    
photographer.NumberScheduled                1.0000     (Insuf)    1.0000     1.0000     1.0000    
photographer.Utilization                    .07598     .00188     .00000     1.0000     .00000    
Implant doctor.NumberBusy                   .31993     .00701     .00000     1.0000     .00000    
Implant doctor.NumberScheduled              1.0000     (Insuf)    1.0000     1.0000     1.0000    
Implant doctor.Utilization                  .31993     .00701     .00000     1.0000     .00000    
UV machine.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
UV machine.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
UV machine.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Addmission Worker.NumberBusy                .31259      3.5871E-4 .00000     1.0000     .00000    
Addmission Worker.NumberScheduled           1.0000     (Insuf)    1.0000     1.0000     1.0000    
Addmission Worker.Utilization               .31259      3.5871E-4 .00000     1.0000     .00000    
brush.NumberBusy                            .00000     (Insuf)    .00000     .00000     .00000    
brush.NumberScheduled                       1.0000     (Insuf)    1.0000     1.0000     1.0000    
brush.Utilization                           .00000     (Insuf)    .00000     .00000     .00000    
Thermoforming machine.NumberBusy            .00000     (Insuf)    .00000     .00000     .00000    
Thermoforming machine.NumberScheduled       1.0000     (Insuf)    1.0000     1.0000     1.0000    
Thermoforming machine.Utilization           .00000     (Insuf)    .00000     .00000     .00000    
Admission.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Batch 2.Queue.NumberInQueue                 2.0312     .07384     .00000     5.0000     3.0000    
normal implant brush.Queue.NumberInQueue    .00000     (Insuf)    .00000     .00000     .00000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
sature.Queue.NumberInQueue                  .00551      9.4295E-4 .00000     2.0000     .00000    
implant fixture polishing.Queue.NumberInQu  .00620      3.6814E-4 .00000     4.0000     .00000    
normal crown polish.Queue.NumberInQueue     .00000     (Insuf)    .00000     .00000     .00000    
sonication and immersion.Queue.NumberInQue  .00000     (Insuf)    .00000     .00000     .00000    
hold immediate implant crown.Queue.NumberI  847.81     (Corr)     100.00     1594.0     1594.0    
hold immediate implant fixture.Queue.Numbe   1.2438E-4 (Insuf)    .00000     1.0000     .00000    
Dentures polishing.Queue.NumberInQueue      .00000     (Insuf)    .00000     .00000     .00000    
Dentures Examination.Queue.NumberInQueue    .01242     .00100     .00000     2.0000     .00000    
join patient crown and fixture.Queue.Numbe  .00000     (Insuf)    .00000     .00000     .00000    
hold normal implant crown.Queue.NumberInQu  478.59     (Corr)     .00000     1038.0     1038.0    
hold dentures base.Queue.NumberInQueue      3778.6     (Corr)     112.00     7427.0     7427.0    
Hold 18.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Hold for call.Queue.NumberInQueue           20605.     (Corr)     2590.0     38729.     38729.    
normal sonication and immersion.Queue.Numb   6.5559E-4 (Insuf)    .00000     1.0000     .00000    
Hold 15.Queue.NumberInQueue                 .99851     (Insuf)    .00000     1.0000     1.0000    
Match 6.Queue1.NumberInQueue                .04143     .00143     .00000     1.0000     .00000    
Match 6.Queue2.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
dentures UV curing.Queue.NumberInQueue      .00000     (Insuf)    .00000     .00000     .00000    
crowns post cure.Queue.NumberInQueue        .00000     (Insuf)    .00000     .00000     .00000    
aligners brush.Queue.NumberInQueue          .00000     (Insuf)    .00000     .00000     .00000    
Adjustable Batch 2.Queue.NumberInQueue      1.8185     .06368     .00000     10.000     .00000    
Implanr examination 1.Queue.NumberInQueue   .03403     .00289     .00000     4.0000     .00000    
normal crowns 3DP.Queue.NumberInQueue       .00000     (Insuf)    .00000     .00000     .00000    
Batch 1.Queue.NumberInQueue                 4.0000     (Insuf)    4.0000     4.0000     4.0000    
Hold 19.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Batch 3.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Photographing.Queue.NumberInQueue           .00000     (Insuf)    .00000     .00000     .00000    
immediate fixtures 3DP.Queue.NumberInQueue  .00000     (Insuf)    .00000     .00000     .00000    
Match 3.Queue1.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Match 3.Queue2.NumberInQueue                8.0000     (Insuf)    8.0000     8.0000     8.0000    
immediate implant brush.Queue.NumberInQueu  .00000     (Insuf)    .00000     .00000     .00000    
aligners ultra sonic.Queue.NumberInQueue    .00000     (Insuf)    .00000     .00000     .00000    
join patient and crown.Queue.NumberInQueue  .00000     (Insuf)    .00000     .00000     .00000    
Hold 6.Queue.NumberInQueue                  .08740     (Corr)     .00000     4.0000     .00000    
Hold 1.Queue.NumberInQueue                  2.9890     .02693     .00000     12.000     .00000    
aligners thermoforming.Queue.NumberInQueue  .00000     (Insuf)    .00000     .00000     .00000    
3DP dentures base.Queue.NumberInQueue       .00000     (Insuf)    .00000     .00000     .00000    
3DP aligners.Queue.NumberInQueue            .00000     (Insuf)    .00000     .00000     .00000    
Batch 8.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
3DP crown.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
dentures post cure.Queue.NumberInQueue      .00000     (Insuf)    .00000     .00000     .00000    
normal implant fixture polishing.Queue.Num  .02374      7.8202E-4 .00000     4.0000     .00000    
examination by orthodentics.Queue.NumberIn  .00000     (Insuf)    .00000     .00000     .00000    
immediate crown polish.Queue.NumberInQueue  .00000     (Insuf)    .00000     .00000     .00000    
join patient and fixture.Queue.NumberInQue  .00214      3.1313E-4 .00000     1.0000     .00000    
aligners post cure.Queue.NumberInQueue      .00000     (Insuf)    .00000     .00000     .00000    
immediate crowns 3DP.Queue.NumberInQueue    .00000     (Insuf)    .00000     .00000     .00000    
restoration.Queue.NumberInQueue             .00000     (Insuf)    .00000     .00000     .00000    
normal sonication and acid etched.Queue.Nu  .00168     (Insuf)    .00000     1.0000     .00000    
Batch 6.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
hold normal implant fixture.Queue.NumberIn   7.4627E-4 (Insuf)    .00000     4.0000     .00000    
scanning process.Queue.NumberInQueue        .04166     .00121     .00000     4.0000     .00000    
crowns brush.Queue.NumberInQueue            .00000     (Insuf)    .00000     .00000     .00000    
Hold 21.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
hold dentures teeth.Queue.NumberInQueue     3771.6     (Corr)     105.00     7420.0     7420.0    
implant post cure.Queue.NumberInQueue       .00000     (Insuf)    .00000     .00000     .00000    
Orthodentics Examination.Queue.NumberInQue  .02719     .00293     .00000     2.0000     .00000    
Implant examinatio 3.Queue.NumberInQueue    .02197     .00218     .00000     2.0000     .00000    
Implant examinatio 2.Queue.NumberInQueue    .00684      9.8683E-4 .00000     2.0000     .00000    
scanning2.Queue.NumberInQueue               .00139      1.7442E-4 .00000     1.0000     .00000    
Match 1.Queue1.NumberInQueue                849.67     (Corr)     100.00     1595.0     1595.0    
Match 1.Queue2.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Denture installation.Queue.NumberInQueue    .00000     (Insuf)    .00000     .00000     .00000    
hold crowns.Queue.NumberInQueue             8400.9     (Corr)     1309.0     15616.     15616.    
hold aligners.Queue.NumberInQueue           4283.3     (Corr)     617.00     7915.0     7915.0    
Hold 20.Queue.NumberInQueue                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
crowns polishing.Queue.NumberInQueue        .00000     (Insuf)    .00000     .00000     .00000    
Restoration Examination.Queue.NumberInQueu  .00000     (Insuf)    .00000     .00000     .00000    
norma implant post cure.Queue.NumberInQueu  .00000     (Insuf)    .00000     .00000     .00000    
3DP dentures teeth.Queue.NumberInQueue      .00000     (Insuf)    .00000     .00000     .00000    
sonication and acid etched.Queue.NumberInQ  .00131     (Insuf)    .00000     1.0000     .00000    
normal fixtures 3DP.Queue.NumberInQueue     .00000     (Insuf)    .00000     .00000     .00000    
Batch 4.Queue.NumberInQueue                 1.9781     .04137     .00000     5.0000     4.0000    

                                             COUNTERS

Identifier                                    Count   Limit
_____________________________________________________________

base LP resin order count                         0  Infinite
resin order count                                 0  Infinite
immediate_implant_count                           0  Infinite
denture_count                                     0  Infinite
restoration_count                                 0  Infinite
two_stage_count                                   0  Infinite
ortho_count                                       0  Infinite
A2 resin order count                              0  Infinite
grey resin order count                            0  Infinite
titanium order count                             36  Infinite

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           .00000    
Entity 1.NumberOut                          .00000    
immediate implant 1.NumberIn                .00000    
immediate implant 1.NumberOut               .00000    
Implant type 2.NumberIn                     18243.    
Implant type 2.NumberOut                    3403.0    
Implant type 1.NumberIn                     4781.0    
Implant type 1.NumberOut                    299.00    
patient.NumberIn                            36180.    
patient.NumberOut                           36181.    
dentures_patient.NumberIn                   21923.    
dentures_patient.NumberOut                  .00000    
Implant_patient.NumberIn                    7282.0    
Implant_patient.NumberOut                   7223.0    
two stage implant 2.NumberIn                .00000    
two stage implant 2.NumberOut               .00000    
orthodontics_patient.NumberIn               14600.    
orthodontics_patient.NumberOut              .00000    
restorative_patient.NumberIn                28610.    
restorative_patient.NumberOut               .00000    
post curing machine.NumberSeized            .00000    
post curing machine.ScheduledUtilization    .00000    
Restoration doctor 2.NumberSeized           7137.0    
Restoration doctor 2.ScheduledUtilization   .14839    
Restoration doctor 1.NumberSeized           7168.0    
Restoration doctor 1.ScheduledUtilization   .14866    
3DP.NumberSeized                            1444.0    
3DP.ScheduledUtilization                    .01318    
Scanner.NumberSeized                        37267.    
Scanner.ScheduledUtilization                .31370    
Denture doctor.NumberSeized                 7294.0    
Denture doctor.ScheduledUtilization         .25163    
orthodontist doctor.NumberSeized            7300.0    
orthodontist doctor.ScheduledUtilization    .30277    
polisher.NumberSeized                       7220.0    
polisher.ScheduledUtilization               .01497    
ultra sonic cleaner.NumberSeized            2888.0    
ultra sonic cleaner.ScheduledUtilization    .07982    
photographer.NumberSeized                   7300.0    
photographer.ScheduledUtilization           .07598    
Implant doctor.NumberSeized                 16760.    
Implant doctor.ScheduledUtilization         .31993    
UV machine.NumberSeized                     .00000    
UV machine.ScheduledUtilization             .00000    
Addmission Worker.NumberSeized              36180.    
Addmission Worker.ScheduledUtilization      .31259    
brush.NumberSeized                          .00000    
brush.ScheduledUtilization                  .00000    
Thermoforming machine.NumberSeized          .00000    
Thermoforming machine.ScheduledUtilization  .00000    
System.NumberOut                            .00000    


                                      ARENA Simulation Results
                                                  

                                  Summary for Replication 2 of 5

Project: Unnamed Project                                             Run execution date : 2/ 2/2022
Analyst: None                                                        Model revision date: 2/ 2/2022

Replication ended at time      : 26280.0 Hours 
Statistics were cleared at time: 2160.0 Hours (Tuesday, May 03, 2022, 00:00:00)
Statistics accumulated for time: 24120.0 Hours
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

tis_twostage_implant                            --         --         --         --          0
tis_immediate_implant                           --         --         --         --          0
time in laboratory                          9.6705     .08208     1.9398     10.966       1139    
tis_ortho_patients                              --         --         --         --          0
tis_restoration                                 --         --         --         --          0
tis_denture                                     --         --         --         --          0
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
immediate implant 1.VATime                      --         --         --         --          0
immediate implant 1.NVATime                     --         --         --         --          0
immediate implant 1.WaitTime                    --         --         --         --          0
immediate implant 1.TranTime                    --         --         --         --          0
immediate implant 1.OtherTime                   --         --         --         --          0
immediate implant 1.TotalTime                   --         --         --         --          0
Implant type 2.VATime                           --         --         --         --          0
Implant type 2.NVATime                          --         --         --         --          0
Implant type 2.WaitTime                         --         --         --         --          0
Implant type 2.TranTime                         --         --         --         --          0
Implant type 2.OtherTime                        --         --         --         --          0
Implant type 2.TotalTime                        --         --         --         --          0
Implant type 1.VATime                           --         --         --         --          0
Implant type 1.NVATime                          --         --         --         --          0
Implant type 1.WaitTime                         --         --         --         --          0
Implant type 1.TranTime                         --         --         --         --          0
Implant type 1.OtherTime                        --         --         --         --          0
Implant type 1.TotalTime                        --         --         --         --          0
patient.VATime                                  --         --         --         --          0
patient.NVATime                                 --         --         --         --          0
patient.WaitTime                                --         --         --         --          0
patient.TranTime                                --         --         --         --          0
patient.OtherTime                               --         --         --         --          0
patient.TotalTime                               --         --         --         --          0
dentures_patient.VATime                         --         --         --         --          0
dentures_patient.NVATime                        --         --         --         --          0
dentures_patient.WaitTime                       --         --         --         --          0
dentures_patient.TranTime                       --         --         --         --          0
dentures_patient.OtherTime                      --         --         --         --          0
dentures_patient.TotalTime                      --         --         --         --          0
Implant_patient.VATime                          --         --         --         --          0
Implant_patient.NVATime                         --         --         --         --          0
Implant_patient.WaitTime                        --         --         --         --          0
Implant_patient.TranTime                        --         --         --         --          0
Implant_patient.OtherTime                       --         --         --         --          0
Implant_patient.TotalTime                       --         --         --         --          0
two stage implant 2.VATime                      --         --         --         --          0
two stage implant 2.NVATime                     --         --         --         --          0
two stage implant 2.WaitTime                    --         --         --         --          0
two stage implant 2.TranTime                    --         --         --         --          0
two stage implant 2.OtherTime                   --         --         --         --          0
two stage implant 2.TotalTime                   --         --         --         --          0
orthodontics_patient.VATime                     --         --         --         --          0
orthodontics_patient.NVATime                    --         --         --         --          0
orthodontics_patient.WaitTime                   --         --         --         --          0
orthodontics_patient.TranTime                   --         --         --         --          0
orthodontics_patient.OtherTime                  --         --         --         --          0
orthodontics_patient.TotalTime                  --         --         --         --          0
restorative_patient.VATime                      --         --         --         --          0
restorative_patient.NVATime                     --         --         --         --          0
restorative_patient.WaitTime                    --         --         --         --          0
restorative_patient.TranTime                    --         --         --         --          0
restorative_patient.OtherTime                   --         --         --         --          0
restorative_patient.TotalTime                   --         --         --         --          0
Admission.Queue.WaitingTime                 .00000     .00000     .00000     .00000      36182    
Batch 2.Queue.WaitingTime                   34.035     2.2429     .00000     152.00       1440    
normal implant brush.Queue.WaitingTime          --         --         --         --          0
Batch 7.Queue.WaitingTime                       --         --         --         --          0
sature.Queue.WaitingTime                    .11297     .02295     .00000     1.8571       1138    
implant fixture polishing.Queue.WaitingTim  .10000      5.0484E-4 .00000     .20000       1440    
normal crown polish.Queue.WaitingTime           --         --         --         --          0
sonication and immersion.Queue.WaitingTime  .00000     (Insuf)    .00000     .00000        288    
